industries,year ,jobs 
Accommodation and food service activities,1996,208
Activities of households,1996,16
Administrative and support service activities,1996,375
"Arts, entertainment and recreation",1996,136
Construction,1996,206
Education,1996,233
Financial and insurance activities,1996,332
Human health and social work activities,1996,357
Information and communication,1996,263
Manufacturing,1996,260
Other service activities,1996,100
Primary and utilities,1996,32
"Professional, scientific and technical activities",1996,403
"Public administration and defence, compulsory social security",1996,231
Real estate activities,1996,67
Transportation and storage,1996,257
"Wholesale, retail and motor trades",1996,574
Accommodation and food service activities,1997,246
Activities of households,1997,10
Administrative and support service activities,1997,409
"Arts, entertainment and recreation",1997,142
Construction,1997,220
Education,1997,237
Financial and insurance activities,1997,334
Human health and social work activities,1997,355
Information and communication,1997,280
Manufacturing,1997,269
Other service activities,1997,114
Primary and utilities,1997,34
"Professional, scientific and technical activities",1997,421
"Public administration and defence, compulsory social security",1997,228
Real estate activities,1997,65
Transportation and storage,1997,265
"Wholesale, retail and motor trades",1997,614
Accommodation and food service activities,1998,260
Activities of households,1998,11
Administrative and support service activities,1998,439
"Arts, entertainment and recreation",1998,136
Construction,1998,236
Education,1998,264
Financial and insurance activities,1998,328
Human health and social work activities,1998,344
Information and communication,1998,316
Manufacturing,1998,251
Other service activities,1998,119
Primary and utilities,1998,36
"Professional, scientific and technical activities",1998,449
"Public administration and defence, compulsory social security",1998,227
Real estate activities,1998,69
Transportation and storage,1998,272
"Wholesale, retail and motor trades",1998,644
Accommodation and food service activities,1999,294
Activities of households,1999,13
Administrative and support service activities,1999,459
"Arts, entertainment and recreation",1999,155
Construction,1999,231
Education,1999,268
Financial and insurance activities,1999,360
Human health and social work activities,1999,343
Information and communication,1999,334
Manufacturing,1999,261
Other service activities,1999,131
Primary and utilities,1999,31
"Professional, scientific and technical activities",1999,448
"Public administration and defence, compulsory social security",1999,238
Real estate activities,1999,69
Transportation and storage,1999,274
"Wholesale, retail and motor trades",1999,679
Accommodation and food service activities,2000,288
Activities of households,2000,7
Administrative and support service activities,2000,506
"Arts, entertainment and recreation",2000,148
Construction,2000,239
Education,2000,275
Financial and insurance activities,2000,363
Human health and social work activities,2000,367
Information and communication,2000,368
Manufacturing,2000,251
Other service activities,2000,131
Primary and utilities,2000,43
"Professional, scientific and technical activities",2000,502
"Public administration and defence, compulsory social security",2000,235
Real estate activities,2000,74
Transportation and storage,2000,275
"Wholesale, retail and motor trades",2000,681
Accommodation and food service activities,2001,294
Activities of households,2001,19
Administrative and support service activities,2001,483
"Arts, entertainment and recreation",2001,159
Construction,2001,241
Education,2001,268
Financial and insurance activities,2001,363
Human health and social work activities,2001,367
